rider_id,home_market,home_cluster,baseline_annual_ride_rate,total_attendance,unique_studios,unique_instructors,familiarity_degree,social_degree,coordination_count,coattendance_degree
R000045,Greater NYC,Uptown Manhattan,6.29465553862927,7,4,7,0,0,0,5
R000046,Greater NYC,Midtown Manhattan,5.148077695857319,3,3,3,0,0,0,1
R000047,Greater NYC,Midtown Manhattan,8.082773042311986,4,4,4,0,0,0,3
R000048,Greater NYC,Uptown Manhattan,3.4716831192950295,4,3,4,0,0,0,4
R000049,Greater NYC,Midtown Manhattan,15.719573957883275,21,4,15,0,0,0,16
R000050,Northern California,San Francisco,2.7824600733151925,4,2,3,0,0,0,3
R000051,DMV,DC–Arlington,3.432758771623359,3,2,3,0,0,0,2
R000052,South Florida,Miami,29.42833151762699,27,2,7,0,0,0,20
R000053,Greater NYC,Fairfield County,6.580076975650568,7,3,6,0,0,0,6
R000054,Greater NYC,Midtown Manhattan,17.655428930905426,21,4,13,0,0,0,11
R000055,Austin,Austin,8.192591361915467,6,1,4,0,0,0,3
R000056,South Florida,Miami,1.0,0,0,0,0,0,0,0
R000057,Southern California,Los Angeles,3.78757408065532,4,3,4,0,0,0,4
R000058,Southern California,Los Angeles,4.460819257577254,11,3,9,0,0,0,6
R000059,Greater NYC,Lower Manhattan–North Brooklyn,19.198028143467,18,7,16,0,0,0,15
R000060,Greater NYC,Hudson County,4.519037412192611,4,1,4,0,0,0,3
R000061,Southern California,Los Angeles,85.0118520546861,81,3,18,3,0,0,44
R000062,Greater NYC,Westchester,12.488301059216262,11,2,9,0,0,0,6
R000063,Austin,Austin,2.8402730740587216,5,1,3,0,0,0,5
R000064,South Florida,Miami,65.22233853543005,73,2,7,4,0,0,42
R000065,Philadelphia,Philadelphia,46.43826533944634,44,2,9,0,0,0,30
R000066,Greater NYC,Uptown Manhattan,7.707781278506042,9,2,8,0,0,0,8
R000067,Greater NYC,Midtown Manhattan,5.055252749672693,6,3,5,0,0,0,4
R000068,Boston,Chestnut Hill,5.318615213544328,4,2,3,0,0,0,4
R000069,Greater NYC,Uptown Manhattan,3.5764761286880336,1,1,1,0,0,0,1
R000070,Greater NYC,Uptown Manhattan,8.146411112474725,6,1,5,0,0,0,6
R000071,Greater NYC,Midtown Manhattan,31.478426768420704,39,7,21,0,0,0,34
R000072,Greater NYC,Uptown Manhattan,1.0,1,1,1,0,0,0,1
R000073,Northern California,Marin County,45.02898218293698,51,3,18,0,0,0,39
R000074,Philadelphia,Philadelphia,36.484337654584586,45,1,7,0,0,0,34
R000075,Greater NYC,Midtown Manhattan,2.0400480760337203,1,1,1,0,0,0,1
R000076,Boston,Chestnut Hill,12.548064323564471,16,1,7,1,0,0,10
R000077,DMV,DC–Arlington,23.473374779433502,25,4,14,0,0,0,15
R000078,Greater NYC,Lower Manhattan–North Brooklyn,3.930238288152277,4,4,4,0,0,0,3
R000079,Atlanta,Atlanta,34.33582184970214,39,1,4,2,0,0,28
R000080,Greater NYC,Lower Manhattan–North Brooklyn,1.4691230499304315,1,1,1,0,0,0,1
R000081,Greater NYC,Lower Manhattan–North Brooklyn,3.879313968810625,2,2,2,0,0,0,2
R000082,Greater NYC,Uptown Manhattan,2.4585387375678014,1,1,1,0,0,0,1
R000083,Northern California,San Francisco,16.771874771709516,14,3,10,0,0,0,8
R000084,Greater NYC,Lower Manhattan–North Brooklyn,8.676778780796116,8,5,7,0,0,0,5
R000085,Greater NYC,Lower Manhattan–North Brooklyn,5.363506932153941,7,5,7,0,0,0,6
R000086,Greater NYC,Lower Manhattan–North Brooklyn,4.527747108296563,2,1,2,0,0,0,1
R000087,DMV,DC–Arlington,5.756228974341204,7,3,6,0,0,0,5
R000088,Northern California,San Francisco,6.669156378053963,8,3,7,0,0,0,5
R000089,Greater NYC,Uptown Manhattan,14.540570788149648,16,5,11,0,0,0,14
R000090,Greater NYC,Fairfield County,3.5091024217407054,6,2,6,0,0,0,6
R000091,Greater NYC,Lower Manhattan–North Brooklyn,4.004112714164031,6,3,6,0,0,0,4
R000092,Philadelphia,Philadelphia,3.3266898972770913,2,1,2,0,0,0,1
R000093,Greater NYC,Midtown Manhattan,24.767258658322607,24,4,18,0,0,0,17
R000094,Greater NYC,Midtown Manhattan,3.069441585948404,7,4,6,0,0,0,6
R000095,Greater NYC,Westchester,4.2270227253740105,3,2,3,0,0,0,2
R000096,Chicago,Chicago,6.1306155832322835,3,1,3,0,0,0,2
R000097,Greater NYC,Midtown Manhattan,15.262108126220662,16,4,11,0,0,0,11
R000098,Dallas,Dallas,1.2156894115443737,0,0,0,0,0,0,0
R000099,Boston,Chestnut Hill,9.026118293709375,14,2,7,0,0,0,10
R000100,Greater NYC,Uptown Manhattan,107.9468331248554,112,6,33,2,0,0,83
R000101,DMV,DC–Arlington,1.0,0,0,0,0,0,0,0
R000102,Chicago,Chicago,25.492700305027345,32,2,11,1,0,0,23
R000103,Atlanta,Atlanta,16.46595860758939,16,1,4,0,0,0,11
R000104,Greater NYC,Uptown Manhattan,16.561838717686022,23,5,19,0,0,0,19
R000105,Houston,Houston,11.951123643532004,8,1,5,0,0,0,5
R000106,Greater NYC,Westchester,1.0,2,2,2,0,0,0,2
R000107,Northern California,Silicon Valley,5.805955874977898,5,1,4,0,0,0,4
R000108,Chicago,Chicago,2.5313542816567476,1,1,1,0,0,0,0
R000109,Greater NYC,Lower Manhattan–North Brooklyn,11.791439685158036,9,3,9,0,0,0,8
R000110,Southern California,Pasadena,3.9785096031886074,7,2,5,0,0,0,2
R000111,Greater NYC,Westchester,14.620036681433822,18,2,11,0,0,0,14
R000112,Greater NYC,Midtown Manhattan,16.291648876947708,14,4,8,0,0,0,14
R000113,Greater NYC,Lower Manhattan–North Brooklyn,24.50570226143064,19,8,16,0,0,0,13
R000114,Greater NYC,Lower Manhattan–North Brooklyn,2.992327955945592,1,1,1,0,0,0,1
R000115,Greater NYC,Midtown Manhattan,11.84977524428839,11,4,7,0,0,0,6
R000116,Greater NYC,Uptown Manhattan,3.2474433841280472,0,0,0,0,0,0,0
R000117,Chicago,Chicago,32.799446810090046,40,2,12,0,0,0,32
R000118,DMV,Montgomery County,34.58295074043382,42,3,14,0,0,0,31
R000119,Boston,Boston,22.444904814823317,35,3,13,1,0,0,25
R000120,Philadelphia,Philadelphia,25.01377052155225,30,2,9,0,0,0,21
R000121,Houston,Houston,7.958782832737819,8,1,6,0,0,0,5
R000122,Greater NYC,Westchester,4.791831467202414,2,2,2,0,0,0,1
R000123,Greater NYC,Midtown Manhattan,3.836549777317776,2,2,2,0,0,0,1
R000124,Southern California,Los Angeles,28.3683920132733,10,3,7,0,0,0,8
R000125,Dallas,Dallas,7.206105016430048,3,1,3,0,0,0,2
R000126,Seattle,Seattle,7.402581065576578,6,1,5,0,0,0,6
R000127,Greater NYC,Uptown Manhattan,16.379209581589244,11,2,10,0,0,0,10
R000128,DMV,DC–Arlington,16.44343253067819,16,3,11,0,0,0,13
R000129,DMV,DC–Arlington,3.7353986923925833,3,2,3,0,0,0,3
R000130,Greater NYC,Midtown Manhattan,4.20539346513532,2,2,2,0,0,0,2
R000131,DMV,DC–Arlington,1.0,0,0,0,0,0,0,0
R000132,Greater NYC,Uptown Manhattan,12.57761602940921,15,3,10,0,0,0,12
R000133,Greater NYC,Midtown Manhattan,20.415852880677196,18,4,15,0,0,0,15
R000134,Greater NYC,Nassau County,3.91747560281431,0,0,0,0,0,0,0
R000135,Greater NYC,Lower Manhattan–North Brooklyn,1.2513877443422066,2,2,2,0,0,0,2
R000136,Greater NYC,Lower Manhattan–North Brooklyn,2.1740232711644127,1,1,1,0,0,0,1
R000137,Greater NYC,Midtown Manhattan,1.0,0,0,0,0,0,0,0
R000138,Southern California,Los Angeles,7.592979359417716,5,3,4,0,0,0,4
R000139,Greater NYC,Westchester,5.340078214980368,6,3,4,0,0,0,5
R000140,Greater NYC,Fairfield County,3.4299424947819643,6,2,6,0,0,0,5
R000141,DMV,DC–Arlington,2.730941174525246,6,2,5,0,0,0,3
R000142,Greater NYC,Nassau County,23.4770566520586,31,1,11,1,0,0,20
R000143,Greater NYC,Uptown Manhattan,10.38488688056312,12,3,12,0,0,0,12
R000144,Atlanta,Atlanta,10.86140855003476,8,1,4,0,0,0,7
R000145,Chicago,Chicago,1.0,1,1,1,0,0,0,0
R000146,Greater NYC,Lower Manhattan–North Brooklyn,12.253055915280193,17,5,14,0,0,0,14
R000147,South Florida,Miami,5.511978825790542,10,2,5,0,0,0,9
R000148,DMV,DC–Arlington,22.744287570221218,22,3,11,0,0,0,18
R000149,Greater NYC,Fairfield County,4.095325303190213,5,2,5,0,0,0,5
R000150,Southern California,Los Angeles,8.839051322856214,5,4,4,0,0,0,3
R000151,Dallas,Dallas,4.481614574202736,6,1,4,0,0,0,4
R000152,Philadelphia,Philadelphia,3.0427658896159,2,1,1,0,0,0,1
R000153,Philadelphia,Philadelphia,24.584525669924194,25,1,7,0,0,0,21
R000154,Chicago,Chicago,1.0,1,1,1,0,0,0,0
R000155,DMV,DC–Arlington,1.0,0,0,0,0,0,0,0
R000156,Austin,Austin,1.7348893900646092,1,1,1,0,0,0,1
R000157,Greater NYC,Fairfield County,2.8493500715672977,3,1,3,0,0,0,2
R000158,Greater NYC,Fairfield County,21.520979486746786,14,3,10,0,0,0,12
R000159,Greater NYC,Uptown Manhattan,9.253507162218668,7,3,7,0,0,0,4
R000160,Greater NYC,Midtown Manhattan,12.086020786874377,18,5,15,0,0,0,13
R000161,Greater NYC,Westchester,30.21880764336137,24,2,10,0,0,0,16
R000162,Boston,Chestnut Hill,1.5634775322587768,2,1,2,0,0,0,2
R000163,Philadelphia,Philadelphia,4.776211188494805,2,1,2,0,0,0,1
R000164,Seattle,Seattle,7.070754039754489,2,1,2,0,0,0,2
R000165,Southern California,Los Angeles,14.210529299121085,11,4,7,0,0,0,8
R000166,Philadelphia,Philadelphia,1.0,0,0,0,0,0,0,0
R000167,Greater NYC,Lower Manhattan–North Brooklyn,1.0,0,0,0,0,0,0,0
R000168,Southern California,Los Angeles,17.193303529426487,14,3,11,0,0,0,7
R000169,Northern California,San Francisco,1.0,1,1,1,0,0,0,1
R000170,Greater NYC,Lower Manhattan–North Brooklyn,8.358588123619398,7,4,7,0,0,0,6
R000171,Greater NYC,Westchester,3.350892295024453,5,2,4,0,0,0,3
R000172,Greater NYC,North Jersey,19.649527387117,30,4,17,1,0,0,18
R000173,Atlanta,Atlanta,1.5201166186451385,2,1,2,0,0,0,2
R000174,Southern California,Los Angeles,1.1749689618378958,1,1,1,0,0,0,0
R000175,Northern California,San Francisco,1.0,0,0,0,0,0,0,0
R000176,Boston,Chestnut Hill,3.5262017544746778,3,1,2,0,0,0,1
R000177,Greater NYC,Midtown Manhattan,1.0,2,1,2,0,0,0,1
R000178,Southern California,Los Angeles,5.256285685135599,6,2,3,0,0,0,5
R000179,Greater NYC,Lower Manhattan–North Brooklyn,12.292280578379335,16,8,12,0,0,0,13
R000180,Boston,Chestnut Hill,10.95054212396222,11,2,7,0,0,0,10
R000181,DMV,DC–Arlington,12.149117863540296,17,3,11,0,0,0,16
R000182,Greater NYC,Midtown Manhattan,1.411579895378141,0,0,0,0,0,0,0
R000183,DMV,DC–Arlington,4.492516106585614,8,3,7,0,0,0,7
R000184,Seattle,Seattle,3.377360308450108,4,1,3,0,0,0,4
R000185,Southern California,Los Angeles,4.629919469863944,7,3,7,0,0,0,5
R000186,Northern California,Marin County,26.71380569527891,17,3,10,0,0,0,15
R000187,Greater NYC,North Jersey,2.1630367056165225,2,2,1,0,0,0,2
R000188,Atlanta,Atlanta,17.25137793363224,16,1,4,0,0,0,12
R000189,Southern California,Pasadena,1.8234596734397308,1,1,1,0,0,0,0
R000190,Northern California,San Francisco,13.126930187174704,10,2,7,0,0,0,8
R000191,DMV,Montgomery County,4.869126566900283,7,1,4,0,0,0,4
R000192,DMV,Montgomery County,3.563953817624682,1,1,1,0,0,0,1
R000193,Northern California,Silicon Valley,8.123491565662436,13,2,10,0,0,0,11
R000194,DMV,DC–Arlington,2.552568461230765,4,2,4,0,0,0,3
R000195,Greater NYC,Lower Manhattan–North Brooklyn,6.777937623775545,8,5,7,0,0,0,6
R000196,South Florida,Miami,7.839208147869418,9,2,3,0,0,0,8
R000197,Greater NYC,Midtown Manhattan,11.904228773399474,11,4,9,0,0,0,7
R000198,Northern California,San Francisco,6.1263376654436925,2,2,2,0,0,0,2
R000199,Greater NYC,Uptown Manhattan,10.043436763601555,11,2,9,0,0,0,7
R000200,Greater NYC,Fairfield County,53.0861640613375,52,3,27,0,0,0,37
R000201,Austin,Austin,1.0,1,1,1,0,0,0,1
R000202,Greater NYC,Uptown Manhattan,18.21074906389375,17,4,13,0,0,0,13
R000203,Greater NYC,Nassau County,2.6259931891854116,1,1,1,0,0,0,0
R000204,DMV,DC–Arlington,5.171647481493298,7,3,5,0,0,0,5
R000205,Southern California,Los Angeles,1.2777823486935531,1,1,1,0,0,0,1
R000206,Southern California,Pasadena,1.137082281736582,1,1,1,0,0,0,1
R000207,Boston,Chestnut Hill,7.646061973285811,6,1,4,0,0,0,4
R000208,Greater NYC,Lower Manhattan–North Brooklyn,8.036157741236758,10,4,8,0,0,0,9
R000209,Greater NYC,Midtown Manhattan,7.03442850756535,3,1,2,0,0,0,2
R000210,Northern California,San Francisco,4.7381041751930235,4,1,2,0,0,0,2
R000211,Greater NYC,Midtown Manhattan,1.0,1,1,1,0,0,0,1
R000212,Greater NYC,Uptown Manhattan,26.61064579575476,24,3,17,0,0,0,21
R000213,Philadelphia,Main Line,8.637705562645364,8,2,4,0,0,0,7
R000214,Greater NYC,Lower Manhattan–North Brooklyn,11.182772061303726,11,5,9,0,0,0,9
R000215,Boston,Boston,23.008094321700124,21,2,9,0,0,0,15
R000216,Greater NYC,Lower Manhattan–North Brooklyn,1.0,1,1,1,0,0,0,0
R000217,Greater NYC,Uptown Manhattan,11.638977291632232,10,2,7,0,0,0,9
R000218,Greater NYC,Uptown Manhattan,1.1829286696926944,4,3,4,0,0,0,3
R000219,Chicago,Chicago,11.33257126126285,10,2,9,0,0,0,7
R000220,Greater NYC,Hudson County,1.1371405672154469,0,0,0,0,0,0,0
R000221,Philadelphia,Philadelphia,7.548231332612978,6,2,4,0,0,0,3
R000222,South Florida,Miami,20.27191417244596,24,2,7,1,0,0,17
R000223,Northern California,San Francisco,55.42334337886455,62,2,15,2,0,0,37
R000224,Northern California,Silicon Valley,1.7419729146850074,2,1,2,0,0,0,2
R000225,DMV,Montgomery County,7.881247014431958,10,2,9,0,0,0,8
R000226,Greater NYC,Uptown Manhattan,2.1774042991275215,1,1,1,0,0,0,1
R000227,Boston,Chestnut Hill,8.674016872866007,8,2,6,0,0,0,2
R000228,DMV,DC–Arlington,1.0,7,3,7,0,0,0,6
R000229,DMV,DC–Arlington,12.96591553444664,12,3,7,0,0,0,10
R000230,Northern California,Silicon Valley,4.774575715647212,3,1,2,0,0,0,3
R000231,Southern California,Pasadena,3.0811922233529208,4,1,4,0,0,0,1
R000232,Southern California,Los Angeles,7.119098195431778,5,2,5,0,0,0,1
R000233,Greater NYC,Midtown Manhattan,29.633033930392816,32,5,24,0,0,0,23
R000234,Houston,Houston,13.3736273385348,17,1,7,0,0,0,11
R000235,Greater NYC,Westchester,4.045658056085693,4,2,3,0,0,0,4
R000236,Southern California,Los Angeles,3.5628695261197363,2,2,2,0,0,0,1
R000237,Boston,Chestnut Hill,7.31687057978004,4,1,3,0,0,0,3
R000238,Seattle,Seattle,25.148982158144285,27,1,6,1,0,0,19
R000239,Southern California,Los Angeles,4.417122407508609,3,2,3,0,0,0,2
R000240,Greater NYC,Westchester,1.641128574342417,3,2,3,0,0,0,3
R000241,Greater NYC,Nassau County,26.81265334104809,25,2,13,0,0,0,20
R000242,Greater NYC,Westchester,1.0,1,1,1,0,0,0,0
R000243,Greater NYC,Nassau County,1.0,1,1,1,0,0,0,1
R000244,Greater NYC,Fairfield County,1.0,2,2,2,0,0,0,2
R000245,Greater NYC,Uptown Manhattan,21.163200514901497,19,4,16,0,0,0,15
R000246,Greater NYC,Lower Manhattan–North Brooklyn,1.757804461338028,1,1,1,0,0,0,1
R000247,DMV,Montgomery County,10.180071822159812,6,1,4,0,0,0,5
R000248,Greater NYC,Lower Manhattan–North Brooklyn,1.2734813754494363,2,2,2,0,0,0,1
R000249,DMV,DC–Arlington,1.89711436430001,2,2,2,0,0,0,2
R000250,DMV,DC–Arlington,3.4414689863970507,2,2,2,0,0,0,1
R000251,Southern California,Pasadena,6.43231405195097,10,2,7,0,0,0,7
R000252,Greater NYC,Midtown Manhattan,1.3863540970276471,1,1,1,0,0,0,1
R000253,Greater NYC,Lower Manhattan–North Brooklyn,2.525753804111296,0,0,0,0,0,0,0
R000254,Greater NYC,Lower Manhattan–North Brooklyn,9.605189064924405,16,5,14,0,0,0,16
R000255,Greater NYC,Lower Manhattan–North Brooklyn,2.1604195545936955,2,2,2,0,0,0,2
R000256,Greater NYC,Uptown Manhattan,4.2583786301966775,4,3,4,0,0,0,3
R000257,Boston,Chestnut Hill,1.0,3,1,2,0,0,0,2
R000258,Greater NYC,Uptown Manhattan,1.0,0,0,0,0,0,0,0
R000259,Greater NYC,Midtown Manhattan,5.846261108276428,8,2,6,0,0,0,7
R000260,Philadelphia,Main Line,1.4615977030151173,2,1,2,0,0,0,2
R000261,Austin,Austin,45.97025984170484,50,1,8,3,0,0,26
R000262,Austin,Austin,11.31996400337949,18,1,6,0,0,0,15
R000263,Northern California,Silicon Valley,6.287542400587307,6,1,4,0,0,0,6
R000264,Boston,Chestnut Hill,37.41550948560491,31,2,10,0,0,0,20
R000265,Boston,Chestnut Hill,9.401185078705286,8,1,6,0,0,0,6
R000266,Chicago,Chicago,30.16604142261348,38,2,13,0,0,0,32
R000267,Atlanta,Atlanta,20.014588311143672,19,1,4,0,0,0,16
R000268,Greater NYC,Midtown Manhattan,24.378696169888077,27,4,19,0,0,0,22
R000269,Southern California,Los Angeles,16.376788408156525,26,4,15,0,0,0,17
R000270,Greater NYC,Hudson County,4.359689403772566,4,2,4,0,0,0,4
R000271,Greater NYC,Lower Manhattan–North Brooklyn,1.529918082776537,1,1,1,0,0,0,1
R000272,Southern California,Pasadena,26.889833946736267,24,2,12,0,0,0,17
R000273,DMV,Montgomery County,26.76700576071719,33,3,15,0,0,0,18
R000274,Greater NYC,Lower Manhattan–North Brooklyn,1.0,1,1,1,0,0,0,1
R000275,DMV,DC–Arlington,12.892221878642644,23,3,12,0,0,0,15
R000276,Philadelphia,Philadelphia,1.3534652512900784,2,1,1,0,0,0,2
R000277,Northern California,Marin County,87.75045794814208,88,3,16,4,2,20,34
R000278,Boston,Boston,8.140087341224746,9,2,6,0,0,0,7
R000279,Greater NYC,Lower Manhattan–North Brooklyn,10.6525398454384,10,6,10,0,0,0,8
R000280,Boston,Chestnut Hill,2.0988817015568504,0,0,0,0,0,0,0
R000281,DMV,Montgomery County,3.041773074374108,2,2,2,0,0,0,0
R000282,Boston,Chestnut Hill,1.6252188684592592,3,1,3,0,0,0,3
R000283,Greater NYC,Westchester,7.545260037289773,9,2,7,0,0,0,7
R000284,Greater NYC,Lower Manhattan–North Brooklyn,6.842087180079154,12,5,11,0,0,0,10
R000285,DMV,DC–Arlington,1.039384242241809,2,2,2,0,0,0,2
R000286,DMV,DC–Arlington,6.1693729243339375,10,3,8,0,0,0,8
R000287,DMV,Montgomery County,7.147944536055485,6,3,5,0,0,0,5
R000288,Greater NYC,Uptown Manhattan,8.927604923798519,16,3,12,0,0,0,15
R000289,South Florida,Miami,2.7387862757593497,4,2,3,0,0,0,4
R000290,Greater NYC,Lower Manhattan–North Brooklyn,35.01232410711724,34,8,20,0,0,0,29
R000291,Southern California,Pasadena,1.9218467748424024,2,1,1,0,0,0,0
R000292,South Florida,Miami,1.0,0,0,0,0,0,0,0
R000293,Philadelphia,Philadelphia,10.073995692590117,7,1,5,0,0,0,5
R000294,DMV,Montgomery County,6.347383081881913,5,1,2,0,0,0,4
R000295,Philadelphia,Philadelphia,28.75667790014698,27,2,9,0,0,0,20
R000296,Greater NYC,Fairfield County,9.902394676026011,5,3,5,0,0,0,5
R000297,Southern California,Los Angeles,6.595990667717805,10,4,8,0,0,0,6
R000298,Dallas,Dallas,12.318435101273028,16,1,7,0,0,0,11
R000299,Greater NYC,Uptown Manhattan,4.3301434475248755,4,1,4,0,0,0,4
R000300,Greater NYC,Midtown Manhattan,3.578884304111443,5,3,5,0,0,0,4
R000301,Greater NYC,Fairfield County,66.07823890233648,73,3,18,1,1,7,41
R000302,Greater NYC,Lower Manhattan–North Brooklyn,4.339897730526853,6,4,6,0,0,0,6
R000303,Philadelphia,Main Line,4.198405412525731,5,2,5,0,0,0,4
R000304,Seattle,Seattle,16.01342051345367,24,1,8,0,0,0,15
R000305,Boston,Boston,4.3049595918391335,5,1,3,0,0,0,5
R000306,Greater NYC,Nassau County,1.1259045324471524,1,1,1,0,0,0,1
R000307,Greater NYC,Lower Manhattan–North Brooklyn,1.0,2,2,2,0,0,0,1
R000308,Chicago,Chicago,4.027238543429733,2,1,2,0,0,0,2
R000309,Southern California,Los Angeles,4.9806926012624295,6,2,5,0,0,0,5
R000310,Greater NYC,Lower Manhattan–North Brooklyn,45.559433478030904,47,7,27,0,0,0,36
R000311,Philadelphia,Main Line,1.0,1,1,1,0,0,0,0
R000312,DMV,DC–Arlington,7.6953268711474525,7,3,7,0,0,0,7
R000313,Greater NYC,Lower Manhattan–North Brooklyn,40.48265923025034,42,6,24,0,0,0,33
R000314,Greater NYC,Lower Manhattan–North Brooklyn,1.2285695622934767,2,2,2,0,0,0,2
R000315,Greater NYC,Midtown Manhattan,14.984886852128604,17,5,16,0,0,0,10
R000316,DMV,Montgomery County,33.124673675150234,45,2,16,1,0,0,28
R000317,DMV,DC–Arlington,3.092020007977335,3,2,3,0,0,0,1
R000318,Boston,Boston,1.0,0,0,0,0,0,0,0
R000319,Greater NYC,Westchester,17.20760406417096,20,4,12,0,0,0,13
R000320,Philadelphia,Main Line,2.4625515634093027,2,1,2,0,0,0,2
R000321,Greater NYC,Lower Manhattan–North Brooklyn,11.149870687644336,13,3,10,0,0,0,11
R000322,Greater NYC,Midtown Manhattan,1.6302914799256898,1,1,1,0,0,0,1
R000323,Seattle,Seattle,1.0,1,1,1,0,0,0,1
R000324,Greater NYC,Uptown Manhattan,4.68269650566725,2,2,2,0,0,0,2
R000325,Greater NYC,Westchester,1.3246011251796943,0,0,0,0,0,0,0
R000326,Philadelphia,Philadelphia,7.141407554299106,12,2,8,0,0,0,8
R000327,Boston,Chestnut Hill,2.0100857226514925,0,0,0,0,0,0,0
R000328,South Florida,Miami,1.6660767939537315,0,0,0,0,0,0,0
R000329,Greater NYC,Lower Manhattan–North Brooklyn,2.2545200846850064,2,2,2,0,0,0,2
R000330,South Florida,Miami,2.465150100128181,3,1,3,0,0,0,1
R000331,Greater NYC,Uptown Manhattan,2.4608836926522604,1,1,1,0,0,0,1
R000332,Southern California,Los Angeles,1.316799987424702,0,0,0,0,0,0,0
R000333,South Florida,Miami,15.192012380109674,12,2,5,0,0,0,10
R000334,Greater NYC,Fairfield County,27.538599609300555,27,2,12,0,0,0,20
R000335,Northern California,San Francisco,2.7611365009642266,2,1,1,0,0,0,1
R000336,Boston,Boston,1.0,3,1,2,0,0,0,2
R000337,Greater NYC,Fairfield County,2.052311889810232,2,2,2,0,0,0,1
R000338,Austin,Austin,5.211114221435167,4,1,4,0,0,0,4
R000339,Northern California,Marin County,31.67149429075639,30,3,13,0,0,0,19
R000340,Greater NYC,Midtown Manhattan,2.1258645003198384,2,2,2,0,0,0,2
R000341,DMV,Montgomery County,11.971692700080734,9,3,8,0,0,0,5
R000342,Houston,Houston,1.8983168072835903,1,1,1,0,0,0,1
R000343,Greater NYC,Lower Manhattan–North Brooklyn,4.35473106415371,3,2,3,0,0,0,3
R000344,Greater NYC,Uptown Manhattan,1.7598362844447062,2,2,2,0,0,0,2
